id,score,word,explain
1,0,16進数,数値を表現するための基数が16の数系で、0から9までの数字とAからFまでの文字を使用して数値を表す。
2,0,２進数,数値を0と1のみを使用して表現する数系。コンピュータの基本的なデータ表現方式。
3,0,A/D変換,アナログ信号をデジタル信号に変換するプロセス。センサーのデータをコンピュータで処理可能な形式に変換する。
4,0,AI,人工知能の略で、学習や推論などの知的行動をコンピュータで模倣する技術。
5,0,AND検索,複数の検索語を組み合わせ、それら全てを含む検索結果を返す検索方式。
6,0,API,アプリケーションプログラミングインターフェースの略で、ソフトウェア間での命令やデータ交換を可能にする規約。
7,0,ASCII,アメリカ標準コード情報交換の略で、英数字や制御文字を表すためのコード体系。
8,0,bps,ビット毎秒の略で、データ通信速度を表す単位。
9,0,CAD,コンピュータ支援設計の略で、コンピュータを利用して設計作業を行う技術。
10,0,CPU,中央処理装置の略で、コンピュータの演算や制御を担当する部分。
11,0,CUI,キャラクターユーザインターフェースの略で、テキストベースでコンピュータとやり取りするユーザーインターフェース。
12,0,D/A変換,デジタル信号をアナログ信号に変換するプロセス。デジタルオーディオやビデオデータを人間が理解できる形に変換する。
13,0,DNS,ドメインネームシステムの略で、インターネット上のドメイン名とIPアドレスを対応付けるシステム。
14,0,DTP,デスクトップパブリッシングの略で、パソコンと出版ソフトウェアを使用して文書や書籍を制作する技術。
15,0,eラーニング,電子学習の略で、インターネットなどを利用した遠隔教育の形態。
16,0,fps,フレーム毎秒の略で、動画の滑らかさを表す単位。1秒間に表示されるフレーム数を意味する。
17,0,GPS,全地球測位システムの略で、衛星を利用して地球上の位置を特定するシステム。
18,0,GUI,グラフィカルユーザインターフェースの略で、アイコンやメニューなどのグラフィカルな要素を用いてコンピュータとユーザーが対話するインターフェース。
19,0,HTML,ハイパーテキストマークアップランゲージの略で、ウェブページを作成するための標準マークアップ言語。
20,0,http,ハイパーテキスト転送プロトコルの略で、インターネット上で情報を転送するためのプロトコル。
21,0,検索エンジン,インターネット上の情報をキーワードに基づいて検索し、関連するウェブページをユーザーに提供するシステム。
22,0,減法混色,色を作るために塗料やインクなどを混ぜ合わせる方法。各色が光を吸収し、反射する光の減少によって色が作られる。
23,0,コーディング,プログラム言語を使用してコンピュータに指示を書く行為。プログラミングとも呼ばれる。
24,0,コーデック,データの圧縮や伸張を行う装置またはソフトウェア。ビデオやオーディオファイルのエンコード、デコードに使用される。
25,0,個人情報,特定の個人を識別する情報。氏名、住所、電話番号、メールアドレスなどが含まれる。
26,0,個人情報の保護に関する法律,個人のプライバシーを守るために制定された法律。個人情報の適切な取扱いと保護を規定する。
27,0,コンピュータウイルス,コンピュータに不正に侵入し、障害を引き起こすプログラム。セキュリティ対策が重要である。
28,0,コンピュータグラフィックス,コンピュータを使用して作成される画像や図形。映画、ゲーム、シミュレーションなどに利用される。
29,0,サーチエンジン,インターネット上の情報を検索するためのシステム。検索エンジンと同義。
30,0,サーバ,ネットワーク上でデータやリソースを管理し、クライアントにサービスを提供するコンピュータ。
